"N","P","K","temperature","humidity","ph","rainfall","label"
"59","57","15","32.3","65.17","6.5","70.52","blackgram"
"41","67","18","29.72","67.78","6.98","71.91","blackgram"
"59","67","17","32.88","69.59","6.55","70.29","blackgram"
"22","70","19","25.1","63","6.91","60.42","blackgram"
"49","77","22","29.04","65.82","7.48","69.03","blackgram"
"36","80","18","29.06","63.89","7.74","60.42","blackgram"
"37","65","16","29.88","69.58","7.31","66.78","blackgram"
"25","65","16","30.25","63.79","6.87","74.92","blackgram"
"40","65","16","27.03","68.57","6.6","69.51","blackgram"
"46","60","15","26.87","60.07","7","60.42","blackgram"
"46","73","19","32.59","65.42","7.38","71.64","blackgram"
"50","70","23","28.95","64.24","6.7","68.73","blackgram"
"59","55","17","25.43","62.12","7.18","68.86","blackgram"
"42","66","15","31.18","65.94","7.37","66.39","blackgram"
"39","55","22","34.88","66.45","7.49","68.28","blackgram"
"47","74","25","27.12","64.43","7.43","74.92","blackgram"
"28","69","21","31.15","61.85","7.23","71.54","blackgram"
"41","73","15","29.27","60.07","7.53","73.11","blackgram"
"50","70","18","30.3","63.37","7.15","61.91","blackgram"
"46","63","17","34.5","64.09","6.5","71.08","blackgram"
"60","70","20","29.94","68.31","6.5","68.67","blackgram"
"31","70","16","26.25","67.09","7.28","72.38","blackgram"
"46","55","17","29.84","67.83","6.72","68.67","blackgram"
"45","72","21","30","69.4","7.78","62.03","blackgram"
"33","70","18","33.19","67.29","7.78","66.47","blackgram"
"59","74","20","32.23","60.93","6.78","67.95","blackgram"
"40","66","21","27.56","61.74","7.25","70.79","blackgram"
"24","60","19","34.58","62.64","6.63","69.09","blackgram"
"54","61","22","32.86","65.92","7.05","62.56","blackgram"
"54","80","15","33.68","68.48","7.45","71.63","blackgram"
"42","80","23","27.1","63.3","6.74","69.23","blackgram"
"28","73","20","31.12","69.96","6.67","66.98","blackgram"
"47","80","20","30.66","63.65","6.73","69.45","blackgram"
"41","63","16","31.05","64.52","7.13","69.27","blackgram"
"49","80","24","28.35","66.53","6.86","73.55","blackgram"
"39","64","22","31.72","69.62","7.37","70.1","blackgram"
"40","65","23","31.18","69.96","7.04","67.57","blackgram"
"45","59","18","31.95","65.75","6.58","72.54","blackgram"
"20","80","19","29.64","66.38","7.1","74.69","blackgram"
"50","63","21","33.72","67.97","6.96","68.31","blackgram"
"46","66","16","29.87","63.45","7.04","67.79","blackgram"
"46","80","19","29.07","62.59","7.49","60.42","blackgram"
"51","56","17","28.25","67.64","7.21","69.57","blackgram"
"60","63","17","27.23","65.54","7.38","64.97","blackgram"
"46","60","20","26.72","66.5","7.11","67.13","blackgram"
"20","70","16","31.89","64.75","7.18","72.69","blackgram"
"35","63","18","33.03","66.81","7.29","71.44","blackgram"
"54","71","15","31.58","61.98","7.37","70.72","blackgram"
"56","74","25","28.75","60.07","7.59","66.35","blackgram"
"49","67","22","29.45","60.22","7.01","62.19","blackgram"
"47","65","15","27.47","67.77","6.99","63.07","blackgram"
"36","70","15","27.22","68.36","6.62","68.99","blackgram"
"60","58","17","30.37","60.76","6.78","72.59","blackgram"
"38","61","18","25.33","63.4","7.73","67.63","blackgram"
"48","61","22","28.02","65.29","7.74","73.8","blackgram"
"35","64","20","29.96","65.26","7.78","71.93","blackgram"
"27","65","17","30.14","63.52","6.96","71.73","blackgram"
"30","56","18","29.79","69.96","6.94","74.25","blackgram"
"41","64","24","28.31","66.81","6.9","63.4","blackgram"
"52","64","24","29.71","64.04","7.14","68.33","blackgram"
"40","68","20","31.12","67.35","6.95","68.66","blackgram"
"20","70","20","26.11","64.68","6.76","70.46","blackgram"
"47","67","15","31.19","67.55","7.53","72.39","blackgram"
"41","68","15","33.36","63.78","7.12","60.42","blackgram"
"47","72","17","28.77","62.25","6.77","71.76","blackgram"
"27","66","23","31.81","67.79","7.32","72.49","blackgram"
"49","57","20","30.46","67.57","7.41","65.93","blackgram"
"41","64","18","32.04","66.11","6.87","66.74","blackgram"
"52","78","16","30.52","64.21","6.71","68.88","blackgram"
"20","73","22","30.54","62.62","6.79","68.01","blackgram"
"36","71","20","29.99","64.86","7.27","70.31","blackgram"
"50","69","25","30.43","65.24","7.66","64.03","blackgram"
"55","75","18","29.79","62.72","7.32","73.63","blackgram"
"29","71","19","26.21","60.43","6.5","65.37","blackgram"
"20","73","15","26.02","65.25","7.36","67.31","blackgram"
"51","59","17","30.96","67.56","6.7","69.02","blackgram"
"56","73","21","29.11","64.3","7.45","70.3","blackgram"
"57","65","16","30.88","64.35","7.67","63.03","blackgram"
"44","62","17","34.95","65.68","6.98","67.27","blackgram"
"31","73","20","31.86","63.24","6.86","69.18","blackgram"
"60","75","19","32.86","66.69","7.78","64.15","blackgram"
"41","71","18","27.06","62.76","6.88","69.32","blackgram"
"60","75","25","27.28","61.23","7.73","64.56","blackgram"
"40","80","25","30.43","65.83","7.4","69.55","blackgram"
"60","61","22","25.6","65.39","7.61","72.36","blackgram"
"38","56","15","27.77","67.62","6.5","68.65","blackgram"
"56","55","15","34.3","62.47","7.09","68.19","blackgram"
"30","66","23","26","60.8","6.94","62.08","blackgram"
"59","63","15","33.33","60.07","6.83","65.61","blackgram"
"33","72","23","26.84","65.53","7.37","70.71","blackgram"
"29","73","19","33.6","66.25","6.62","68.77","blackgram"
"41","74","18","29.25","60.07","7","67.34","blackgram"
"60","73","20","30.27","67.79","6.92","73.68","blackgram"
"38","74","25","34.07","67.17","7.47","62.28","blackgram"
"47","70","18","31.65","61.69","6.5","62.99","blackgram"
"39","66","22","28.67","61.01","6.83","61.22","blackgram"
"44","71","16","33.86","61.49","7.09","62.34","blackgram"
"26","75","16","31.16","67.91","7.36","63.81","blackgram"
"33","70","20","26.33","66.77","6.86","74.26","blackgram"
"56","61","25","26.54","69.17","7.05","70.27","blackgram"
"30","67","18","30.42","68.55","7.5","71.17","blackgram"
"60","68","22","28.94","62.73","7.05","62.47","blackgram"
"39","55","16","30.97","63.78","7.78","63.87","blackgram"
"48","70","19","30.69","65.45","6.5","62.13","blackgram"
"48","73","21","30.33","64.79","7.78","71.59","blackgram"
"37","69","18","30.96","67.75","6.92","60.42","blackgram"
"39","77","24","29.31","69.96","7.45","66.57","blackgram"
"32","75","19","26.63","64.2","6.86","72.57","blackgram"
"52","62","18","26.11","60.47","7.34","70.14","blackgram"
"38","68","19","32.73","63.55","6.85","71.45","blackgram"
"33","69","18","28.98","62.23","6.97","70.65","blackgram"
"20","72","24","26.19","66.44","6.87","65.78","blackgram"
"60","67","20","31.95","64.5","7.62","61.32","blackgram"
"40","55","21","29.35","60.86","6.67","73.16","blackgram"
"22","69","25","28.54","66.89","6.81","66.82","blackgram"
"39","66","19","32.14","66.57","7.78","67.39","blackgram"
"54","59","18","26.98","65.8","6.5","65.31","blackgram"
"20","58","20","27.64","65.66","7.65","74.92","blackgram"
"49","68","23","33.39","67.94","7.42","66.99","blackgram"
"53","64","22","29.91","65.07","6.84","63.39","blackgram"
"20","59","20","29.08","67.83","7.32","64.39","blackgram"
"38","57","17","31.32","66.53","7.64","70.04","blackgram"
"60","72","20","31.12","64.72","6.96","70.29","blackgram"
"48","63","20","28.1","68.21","7.33","66.91","blackgram"
"44","80","15","34.95","63.57","7.19","60.42","blackgram"
"20","66","15","29.64","67.17","7.33","70.22","blackgram"
"35","67","17","30.44","62.02","7.15","66.33","blackgram"
"56","68","15","30.89","62.47","7.17","61.38","blackgram"
"60","65","15","28.42","64.91","6.98","68.13","blackgram"
"37","70","24","27.94","69.96","7.26","64.04","blackgram"
"34","64","22","29.93","62.46","7.35","67.02","blackgram"
"49","66","19","29.21","64.04","7.19","65.65","blackgram"
"59","58","21","32.69","68.3","6.71","65.52","blackgram"
"32","66","19","34.95","66.47","6.99","65.76","blackgram"
"29","55","19","31.12","66.06","7.12","73.69","blackgram"
"29","79","21","28.65","68.18","6.5","72.34","blackgram"
"44","69","18","28.97","67.15","6.95","62.76","blackgram"
"35","66","21","25.1","68.63","6.5","67.25","blackgram"
"22","55","21","29.34","66.94","7.78","70.71","blackgram"
"32","62","17","29.82","65.27","6.99","61.02","blackgram"
"60","68","20","30.11","68.41","6.55","71.08","blackgram"
"43","71","22","28.58","64.27","7.33","69.89","blackgram"
"47","59","23","28.2","61.41","7.22","70.2","blackgram"
"39","74","17","27.86","67.58","6.72","69.16","blackgram"
"56","72","19","28.28","69.16","6.57","60.42","blackgram"
"43","57","18","25.31","63.83","7.28","67.11","blackgram"
"26","71","16","27.49","65.45","6.68","61.83","blackgram"
"36","70","25","27.62","64.82","7.09","65.1","blackgram"
"37","68","22","32.77","62.88","7.21","68.52","blackgram"
"33","80","15","28.94","65.04","7.03","69.63","blackgram"
"36","67","19","29.8","61.67","7.43","65.69","blackgram"
"54","80","18","29.29","68.35","6.96","74.92","blackgram"
"56","71","18","26.76","63.21","7.2","74.92","blackgram"
"20","73","20","33.6","60.37","7.38","69.6","blackgram"
"48","66","15","30.71","60.07","7.34","69.63","blackgram"
"57","55","21","29.9","62.25","7.2","67.45","blackgram"
"26","69","17","28.89","62.73","6.69","60.42","blackgram"
"20","68","15","29.61","69.64","7.29","62.35","blackgram"
"35","63","19","27.97","67.94","7.44","69.76","blackgram"
"48","59","16","33.58","64.77","6.86","71.55","blackgram"
"30","79","20","29.53","64.41","7.26","66.83","blackgram"
"42","72","20","28.45","67.6","7.37","66.34","blackgram"
"49","78","17","34.91","66.28","7.7","67.87","blackgram"
"33","75","15","29.69","64.54","7.21","71.21","blackgram"
"34","75","19","25.1","61.01","6.94","73.98","blackgram"
"51","63","19","30.26","68.72","6.85","65.61","blackgram"
"53","60","19","33.21","65.4","6.55","67.1","blackgram"
"40","55","16","31.8","64.32","6.8","69.26","blackgram"
"30","73","15","27.08","69.96","6.81","73.01","blackgram"
"37","80","19","30.91","67.57","7.08","69.92","blackgram"
"28","67","20","25.1","68.18","6.9","63.21","blackgram"
"53","73","17","29.97","63.52","7.38","68.34","blackgram"
"20","55","18","33.88","63.34","7.67","61.64","blackgram"
"20","67","19","27.65","60.07","7.01","70.52","blackgram"
"60","63","18","28.96","67.26","7.31","73.16","blackgram"
"49","71","22","32.19","62.35","7.27","74.92","blackgram"
"59","71","23","33.66","61.22","6.94","69.95","blackgram"
"32","71","21","29.94","69.31","7.02","73","blackgram"
"41","65","24","27.38","64.78","7.33","67.1","blackgram"
"27","65","21","27.41","62.98","7.04","63.83","blackgram"
"42","78","15","29.34","62.28","6.98","68.03","blackgram"
"24","60","15","31.09","64.68","6.91","65.13","blackgram"
"25","80","19","29.36","60.93","7.78","65.94","blackgram"
"60","64","25","27.68","68.2","7.16","64.72","blackgram"
"44","66","22","33.83","65.09","6.77","69.49","blackgram"
"20","72","21","28.12","69.93","7.16","68.67","blackgram"
"36","71","19","32.47","61.48","7.06","64.54","blackgram"
"41","61","17","27.86","63.04","6.86","61.52","blackgram"
"33","67","15","31.04","62.56","7.13","66.42","blackgram"
"31","72","23","30.5","66.77","7.31","68.84","blackgram"
"42","76","19","31.91","65.19","7.73","72.42","blackgram"
"23","68","17","30.1","61.37","7.31","67.64","blackgram"
"22","72","25","29.38","60.29","7.55","69.31","blackgram"
"55","70","19","30.92","67.39","6.85","62.2","blackgram"
"45","64","19","30.38","65.79","6.78","71.79","blackgram"
"32","69","24","25.96","63.49","7.2","68.89","blackgram"
"20","73","19","26.88","69.96","7.41","72.38","blackgram"
"21","74","18","34.92","65.39","6.9","66.91","blackgram"
"29","62","18","25.69","63.74","6.5","72.93","blackgram"
"57","63","21","28.93","67.52","7.02","68.82","blackgram"
"37","80","15","27.69","63.13","6.84","73.06","blackgram"
"60","70","19","28.45","63.23","7.58","67.99","blackgram"
"32","78","19","31.1","65.24","6.91","67.87","blackgram"
"34","78","22","25.71","60.63","6.81","74.77","blackgram"
"46","70","19","30.02","62.89","6.74","70.3","blackgram"
"32","55","23","28.41","65.81","7.53","70.14","blackgram"
"60","55","20","30.41","61.88","7.35","62.68","blackgram"
"36","73","16","29.13","60.07","6.5","65.85","blackgram"
"40","70","21","28.97","66.68","6.81","60.44","blackgram"
"33","55","20","27.67","66.48","7.4","70.67","blackgram"
"51","74","15","31.61","66.74","7.2","66.44","blackgram"
"37","61","21","34.49","61.24","7.11","65.09","blackgram"
"46","56","20","28.74","64.56","6.65","66.16","blackgram"
"31","59","19","26.05","61.27","6.69","73.1","blackgram"
"38","68","22","30.98","62.11","7.3","63.43","blackgram"
"60","72","19","31.75","62.05","7.44","67.96","blackgram"
"20","72","20","33.91","65.06","7.22","71.94","blackgram"
"31","63","17","30.23","69.96","7.78","65.37","blackgram"
"39","55","17","33.9","67.07","7","73.76","blackgram"
"32","68","25","27.97","66.49","7.78","73.65","blackgram"
"47","72","19","31.1","67.51","6.86","60.42","blackgram"
"58","72","16","28.99","64.13","7.52","64.46","blackgram"
"51","73","19","32.82","69.12","7.08","63.12","blackgram"
"36","71","23","30.02","66.09","7.08","73.74","blackgram"
"41","68","21","26.88","66.83","7.16","73.3","blackgram"
"22","78","21","28.46","65.61","7.12","67.69","blackgram"
"39","58","21","32.41","67.3","6.87","62.93","blackgram"
"49","69","15","32.42","63.76","7.35","73.25","blackgram"
"33","65","21","26.17","66.42","7.34","61.49","blackgram"
"42","66","16","30.3","66.79","6.7","65.93","blackgram"
"28","73","20","26.79","63.31","7.78","64.33","blackgram"
"34","77","22","31.21","63.32","7.15","71.36","blackgram"
"42","55","18","26.57","60.07","6.58","62.61","blackgram"
"58","63","18","28.53","61.19","7.35","65.09","blackgram"
"31","80","18","33.91","66.37","7.21","63.47","blackgram"
"39","65","22","28.04","62.82","7.53","60.42","blackgram"
"50","64","25","32.35","60.07","7.3","72.13","blackgram"
"27","76","17","33.26","66.02","7.53","70.03","blackgram"
"48","63","21","25.98","66.52","6.76","67.18","blackgram"
"24","66","22","30.85","60.07","7.39","69.44","blackgram"
"51","74","20","29.95","60.22","7.47","63.85","blackgram"
"58","68","22","29.27","65.7","6.76","64.42","blackgram"
"60","64","15","29.56","61.99","7.23","74.92","blackgram"
"46","80","17","32.15","69.96","6.63","67.63","blackgram"
"43","73","19","29.03","61.78","6.5","67.84","blackgram"
"42","69","18","26.38","66.22","7.13","66.39","blackgram"
"50","67","21","25.94","61.45","7.01","70.19","blackgram"
"26","67","21","30.03","69.96","7.5","65.36","blackgram"
"25","59","21","32.25","67.26","6.5","67.22","blackgram"
"47","66","24","27.62","64.16","7.18","74.92","blackgram"
"38","66","20","32.25","67.57","6.95","64.39","blackgram"
"55","55","19","25.1","62.39","6.5","66.41","blackgram"
"36","64","21","29.78","68.4","7.49","68.44","blackgram"
"39","67","20","31.7","64.1","6.82","73.81","blackgram"
"40","73","23","34.35","65.88","6.5","68.94","blackgram"
"37","75","18","34.95","64.86","7.2","64.84","blackgram"
"60","73","15","29.46","63.59","7.13","69.48","blackgram"
"42","62","18","26.54","64","7.1","67.08","blackgram"
"44","75","19","31.73","69.96","7.53","62.84","blackgram"
"39","64","25","33.68","66.52","7.13","66.43","blackgram"
"44","55","24","31.38","64.02","7.01","60.42","blackgram"
"25","62","15","30.11","63.35","7.52","74.92","blackgram"
"39","71","20","31.35","63.38","7.33","68.32","blackgram"
"39","67","21","27.68","64.18","7.56","68.38","blackgram"
"42","65","18","29.49","62.13","7.5","69.31","blackgram"
"43","64","17","31.89","65.67","7.45","74.92","blackgram"
"44","67","21","25.1","67.32","7.53","62.24","blackgram"
"29","69","16","31.35","69.2","7.01","61.82","blackgram"
"33","58","18","34.58","66.98","7.18","64.25","blackgram"
"40","62","21","31.82","67.11","7.44","68.62","blackgram"
"46","68","15","29.63","64.28","7.22","70.31","blackgram"
"33","70","22","26.43","63.2","7.3","67.2","blackgram"
"52","69","15","33.3","64.31","7.35","71.91","blackgram"
"47","68","19","29.2","65.14","6.98","66.25","blackgram"
"45","65","24","30.3","65.23","7.48","67.07","blackgram"
"33","64","21","28.15","69.96","7.17","64.98","blackgram"
"52","67","15","34.2","66.51","7.2","67.39","blackgram"
"45","65","16","27.77","60.73","7.27","73.61","blackgram"
"51","58","18","29.12","64.32","6.89","62.1","blackgram"
"44","79","20","25.36","62.94","6.5","65.59","blackgram"
"30","79","21","34.95","63.93","6.95","68.32","blackgram"
"45","78","15","25.97","64.34","7.38","74.92","blackgram"
"47","63","18","31.59","65.51","7.63","65.38","blackgram"
"34","66","15","27.77","64.41","7.12","65.69","blackgram"
"60","61","22","32","66.09","7.43","66.2","blackgram"
"54","60","22","30.42","61.71","7.31","68.33","blackgram"
"31","55","18","30.02","69.65","7.71","65.2","blackgram"
"20","58","16","25.1","64.81","7.78","66.16","blackgram"
"42","66","23","27.07","60.27","6.72","67.97","blackgram"
"24","69","21","27.92","68.94","6.86","61.65","blackgram"
"60","72","17","27.53","63.13","7.29","73.34","blackgram"
"23","79","15","31.31","60.67","7.09","60.91","blackgram"
"34","64","17","32.79","67.09","6.98","70.13","blackgram"
"47","72","19","25.72","66.78","7.33","66.55","blackgram"
"58","75","19","28.96","67.87","7.2","63.19","blackgram"
"33","80","22","31.56","65.27","7.38","74.92","blackgram"
"53","64","20","30.57","69.9","6.89","70.89","blackgram"
"20","65","17","30.95","61.31","7.36","64.89","blackgram"
"35","64","21","34.02","62.87","7.78","68.19","blackgram"
"60","76","22","30.92","67.98","7.55","74.39","blackgram"
"43","79","22","34.95","63.3","7.7","71.48","blackgram"
"25","60","21","34.95","60.54","7.14","69.6","blackgram"
"60","55","15","28.48","63.82","6.95","71.01","blackgram"
"60","66","21","28.62","65.61","6.92","63.15","blackgram"
"46","71","21","27.39","64.96","7.74","70.72","blackgram"
"41","60","19","27.65","65.6","6.97","66.36","blackgram"
"44","62","23","26.72","62.51","6.5","66.45","blackgram"
"42","63","23","26.38","63.91","7.36","74.92","blackgram"
"33","73","19","27.16","66.5","6.86","63.35","blackgram"
"40","61","25","27.51","63.18","6.58","66.11","blackgram"
"27","64","16","31.2","65.3","7.28","62.65","blackgram"
"42","64","21","28.27","66.41","7.41","70.64","blackgram"
"20","66","23","25.1","66.09","7.28","65.76","blackgram"
"29","66","15","28.3","67.1","6.58","68.86","blackgram"
"55","72","23","30.07","67.09","7.52","60.42","blackgram"
"60","68","18","31.29","63.64","7.52","73.35","blackgram"
"59","75","24","30.95","62.55","6.85","67.39","blackgram"
"36","55","18","27.06","64.66","7.57","71.74","blackgram"
"24","62","20","30.91","66.44","7.05","67.83","blackgram"
"45","80","22","25.66","63","6.73","63.84","blackgram"
"39","64","22","25.1","66.15","7.23","61.41","blackgram"
"21","72","25","32.05","64.61","7.08","64.86","blackgram"
"55","77","23","33.58","60.21","7.3","62.46","blackgram"
"26","71","23","26.89","65.4","6.5","71.25","blackgram"
"45","77","15","31.69","66.27","7.04","64.21","blackgram"
"52","63","20","30.67","64.23","7.58","71.38","blackgram"
"35","64","17","27.57","64.13","6.5","67.94","blackgram"
"29","55","22","31.82","62.88","7.17","66.01","blackgram"
"34","66","24","31.79","62.48","7.01","71.38","blackgram"
"39","68","15","33.62","63.18","7.5","70.81","blackgram"
"45","55","19","34.95","65.63","7.46","68.11","blackgram"
"37","64","20","30.03","65.28","7.41","71.58","blackgram"
"25","70","19","31.99","63","6.82","64.5","blackgram"
"44","58","18","28.92","68.44","6.97","68.75","blackgram"
"34","68","20","34.74","65.95","7.58","70.38","blackgram"
"60","65","23","27.95","64.09","6.67","72.11","blackgram"
"45","79","17","32.62","65.51","7.06","74.31","blackgram"
"46","80","17","33.81","64.02","7.3","65.06","blackgram"
"36","75","17","29.72","66.19","7.63","68.67","blackgram"
"51","59","18","29.3","60.77","7.07","64.92","blackgram"
"50","68","21","25.1","67.98","7.64","72.3","blackgram"
"45","66","20","28.49","63.64","6.83","72.57","blackgram"
"38","71","22","32.83","62.28","6.57","70.9","blackgram"
"32","74","24","30.42","67.12","6.64","70.07","blackgram"
"27","68","23","29.26","65.91","6.85","67.81","blackgram"
"52","75","18","25.77","68.48","7.23","74.12","blackgram"
"42","67","23","26.97","69.63","7.3","70.76","blackgram"
"34","66","18","30.39","66.21","7.5","66.71","blackgram"
"35","57","20","30.51","64.77","7.03","64.38","blackgram"
"29","65","18","33.25","62.31","7.3","68.26","blackgram"
"49","58","18","31.57","67.1","6.73","68.22","blackgram"
"31","65","15","30.3","60.07","7.44","71.48","blackgram"
"28","59","20","31.07","65.49","7.78","71.67","blackgram"
"33","75","16","32.96","66.8","7.02","66.96","blackgram"
"39","80","21","33.08","65.88","6.71","66.78","blackgram"
"30","65","22","30.24","61.67","7.38","64.42","blackgram"
"50","76","15","30.64","69.19","7.78","69.79","blackgram"
"34","60","17","28.08","69.96","6.97","68.57","blackgram"
"57","75","25","28.48","62.98","7.23","63.83","blackgram"
"44","75","15","28.58","63.53","7.69","74.92","blackgram"
"46","63","18","28.09","64.04","7.61","71.21","blackgram"
"31","71","20","29.06","68.44","7.4","62","blackgram"
"51","71","19","30.22","66.25","6.62","67.83","blackgram"
"43","56","19","31.19","64.78","7.15","65.96","blackgram"
"26","80","22","28.09","68.82","7","67.35","blackgram"
"24","68","18","32.88","62.88","7.26","66.71","blackgram"
"33","64","23","33.05","65.4","6.93","65.75","blackgram"
"44","63","18","30.73","67.84","6.85","71.78","blackgram"
"39","69","20","31.27","69.34","6.68","72.18","blackgram"
"58","61","20","25.47","68.48","7.37","65.37","blackgram"
"38","64","19","30.19","63.35","7.27","74.92","blackgram"
"37","78","22","28.93","63.54","6.93","74.92","blackgram"
"33","74","23","27.64","69.96","7.04","69.37","blackgram"
"38","65","17","29.61","63.63","6.73","63.02","blackgram"
"39","69","25","27.75","64.65","7.69","73.8","blackgram"
"38","55","21","30.93","66.55","7.31","68.39","blackgram"
"49","65","17","34.95","63.87","7.69","62.71","blackgram"
"20","77","24","30.67","65.99","6.82","72.19","blackgram"
"44","61","25","32.14","65.26","6.5","69.07","blackgram"
"24","74","22","25.1","68.47","7.38","67.65","blackgram"
"53","67","15","29.16","66.03","6.66","61.17","blackgram"
"60","55","15","25.1","69.35","7.14","60.42","blackgram"
"28","59","15","26.79","66.64","6.74","71.21","blackgram"
"21","66","19","30.89","66.33","7.48","70.34","blackgram"
"59","71","22","30.67","62.37","7.52","67.23","blackgram"
"20","63","19","30.1","60.27","6.59","65.17","blackgram"
"38","56","15","31.7","64.65","6.5","65.89","blackgram"
"53","62","20","28.59","67.71","7.2","64.25","blackgram"
"46","70","21","29.19","66.61","7.07","69.95","blackgram"
"43","72","16","31.15","61.12","6.57","60.42","blackgram"
"60","65","22","32.18","62.61","6.96","65.62","blackgram"
"41","65","25","27.67","67.59","7.02","74.92","blackgram"
"56","70","23","29.84","63.64","6.98","68.31","blackgram"
"56","60","23","29.37","69.84","6.91","74.92","blackgram"
"27","55","17","25.1","60.07","6.65","73.01","blackgram"
"28","68","23","34.26","69.96","7.04","65.48","blackgram"
"20","73","21","28.64","69.96","6.78","72.21","blackgram"
"45","66","20","27.19","65.06","6.6","71.23","blackgram"
"53","73","15","26.98","63.3","7","71.18","blackgram"
"49","60","19","28.16","68.89","6.5","63.48","blackgram"
"30","80","16","30.8","66.65","7.08","74.92","blackgram"
"40","64","15","33.06","68.65","7.26","67.21","blackgram"
"36","65","18","30.42","63.51","7.07","70.21","blackgram"
"36","59","25","28.01","60.07","6.97","60.42","blackgram"
"46","78","20","25.36","64.72","6.78","63.65","blackgram"
"56","61","19","33.03","65.92","7.78","62.91","blackgram"
"20","68","15","32.61","66.78","6.91","69.76","blackgram"
"20","70","18","28.7","66.07","6.5","64.21","blackgram"
"39","70","23","29.46","66.09","6.86","67.81","blackgram"
"39","63","18","32.76","63.75","7.5","69.96","blackgram"
"40","67","25","28.64","63.79","7.37","64","blackgram"
"37","63","15","32.04","64.83","6.98","71.82","blackgram"
"53","59","20","32.24","60.91","7.78","66.27","blackgram"
"60","80","19","27.06","62.72","7.78","67.84","blackgram"
"21","71","19","31.74","67.6","7.17","70.29","blackgram"
"40","58","20","26.89","65.69","7.72","68.82","blackgram"
"41","61","21","33.24","69.96","7.27","68.38","blackgram"
"50","68","25","27.81","63.41","7.53","67.87","blackgram"
"41","72","23","28.76","64.84","7.11","72.68","blackgram"
"44","78","21","26.04","60.07","6.94","73.02","blackgram"
"42","59","16","27.35","67.3","7.29","62.91","blackgram"
"21","69","15","28.69","61.83","7.02","66.45","blackgram"
"46","65","18","27.55","60.8","6.65","64.2","blackgram"
"20","80","20","32.19","69.34","7.21","65.57","blackgram"
"26","55","19","29.74","69.11","6.73","66.16","blackgram"
"23","78","15","30.39","67.46","7.72","72.28","blackgram"
"38","68","16","30.26","64.16","6.96","68.43","blackgram"
"60","79","15","34.73","62.51","7.68","65.61","blackgram"
"38","79","21","25.53","66.37","6.88","66.03","blackgram"
"45","65","24","29.5","60.24","7.07","64.3","blackgram"
"58","71","19","31.68","64.63","7.52","67.89","blackgram"
"47","59","20","28.46","66.52","6.56","73.45","blackgram"
"46","70","15","27.07","65.79","7.42","73.67","blackgram"
"38","72","19","31.39","62","7.52","68.83","blackgram"
"41","71","21","31.26","61.8","7.3","64.63","blackgram"
"48","76","15","25.1","62.43","7.78","71.08","blackgram"
"39","62","16","28.65","65.92","7.5","67.22","blackgram"
"40","66","22","29.76","64.63","6.94","63.88","blackgram"
"60","72","23","27.41","62.41","6.85","72.1","blackgram"
"33","67","16","27.11","63.75","7.33","68.36","blackgram"
"34","64","19","32.44","67.19","6.82","72.98","blackgram"
"36","69","16","29.33","64.75","7.16","65.81","blackgram"
"46","63","19","30.74","65.39","6.5","74.92","blackgram"
"43","73","19","30.69","64.54","7.43","66.74","blackgram"
"27","55","17","31","63.26","7.71","74.92","blackgram"
"37","66","21","34.8","65.45","6.7","74.11","blackgram"
"30","80","21","26.18","60.44","7.17","70.27","blackgram"
"55","71","18","26.61","64.45","7.42","73.95","blackgram"
"59","63","25","25.1","64.61","7.49","62.67","blackgram"
"43","63","18","30.07","62.72","7.31","70.23","blackgram"
"32","75","19","31.63","62.78","6.96","63.15","blackgram"
"24","63","18","32.45","66.11","7.78","72.67","blackgram"
"43","65","19","33.59","64.41","7.03","71.67","blackgram"
"28","68","18","29.19","64.25","7.4","65.44","blackgram"
"20","68","15","27.83","69.96","6.73","64.23","blackgram"
"57","67","18","34.95","65.32","7.42","71.66","blackgram"
"32","63","16","25.95","63.19","7.6","71.23","blackgram"
"30","69","17","28.86","67.48","7.35","72.12","blackgram"
"49","55","20","25.82","63.22","7.2","67.5","blackgram"
"38","65","18","27.21","69.96","7.15","67.13","blackgram"
"54","62","25","29.58","64.77","7.56","70.08","blackgram"
"26","78","23","28.32","62.18","7.26","66.24","blackgram"
"36","75","24","31.69","64.67","7.48","71.03","blackgram"
"54","77","24","30.71","64.56","7.29","74.54","blackgram"
"48","71","24","29.93","64.5","7.22","72.04","blackgram"
"21","69","17","29.41","66.55","7.14","68.33","blackgram"
"47","64","21","32.67","68.98","6.81","60.42","blackgram"
"30","67","20","31.31","65.17","7.09","74.92","blackgram"
"32","69","20","32.06","61.67","7.56","68.71","blackgram"
"39","66","17","29.31","69.96","7.37","74.92","blackgram"
"20","68","17","30.25","67.38","6.75","69.37","blackgram"
"31","69","15","31.67","62.1","7.78","67","blackgram"
"20","73","20","27.19","63.75","7.56","70.95","blackgram"
"20","64","21","25.44","67.09","7.77","68.18","blackgram"
"59","64","22","27.87","69.96","7.59","74.46","blackgram"
"31","69","17","30.65","61.58","7.29","65.46","blackgram"
"39","66","19","32.77","65.1","7.27","72.93","blackgram"
"42","69","17","30.67","63.41","7.58","65.07","blackgram"
"20","76","18","29.56","68.48","6.91","71.48","blackgram"
"39","55","18","29.79","63.71","6.83","64.39","blackgram"
"36","79","18","29.44","69.02","7.34","65.6","blackgram"
"40","75","17","32.89","66.08","6.7","67.6","blackgram"
"60","74","22","30.12","60.34","7.5","71.19","blackgram"
